Model,geometry,f_res_true,f_res_pred,f_res_err_MHz,S11min_true,S11min_pred,S11min_err_dB,BW_true_MHz,BW_pred_MHz,BW_err_MHz
XGBoost,33,2.3949999809265,2.3940000534058,0.9999275206999947,-26.469293807126,-33.322811126708984,6.853517319582984,72.99995422359996,72.99995422359996,0.0
XGBoost,39,2.3949999809265,2.3940000534058,0.9999275206999947,-23.502986944529,-23.928661346435547,0.42567440190654793,69.00000572199971,72.99995422359996,3.999948501600244
XGBoost,44,2.3919999599457,2.3900001049042,1.9998550414999094,-15.361728291361,-15.953725814819336,0.5919975234583355,55.00006675719993,54.00013923640002,0.9999275207999148
XGBoost,1,2.3829998970032,2.3819999694824,0.9999275207999148,-18.377237901985,-20.087331771850586,1.7100938698655845,49.00002479550025,52.99997329710004,3.999948501599789
XGBoost,2,2.3959999084473,2.3980000019073,2.000093459999963,-14.768047822382,-28.203670501708984,13.435622679326984,39.99996185300026,49.999952316299726,9.999990463299469
XGBoost,12,2.3889999389648,2.385999917984,3.000020980799878,-27.812491098665,-23.51344108581543,4.29905001284957,48.00009727479981,46.00000381469993,2.000093460099883
XGBoost,22,2.4089999198914,2.4249999523163,16.000032424900112,-2.0414091459018,-5.306879043579102,3.265469897677302,0.0,0.0,0.0
XGBoost,24,2.404000043869,2.4059998989105,1.9998550414999094,-12.555921394828,-12.821242332458496,0.2653209376304968,37.000179290799906,38.000106811499904,0.9999275206999982
XGBoost,27,2.3919999599457,2.3980000019073,6.000041961599756,-10.547480191604,-15.878143310546875,5.330663118942875,11.000156402599881,33.999919891400054,22.999763488800173
XGBoost,37,2.3940000534058,2.3940000534058,0.0,-38.68661580855,-22.790143966674805,15.896471841875197,65.00005722049984,65.00005722039992,9.991651950258529e-11
XGBoost,42,2.3910000324249,2.385999917984,5.000114440900205,-18.601334752652,-15.22132682800293,3.380007924649071,54.999828338599954,54.00013923640002,0.9996891021999375
XGBoost,46,2.3870000839233,2.385999917984,1.0001659392999684,-12.295366808278,-10.959005355834961,1.3363614524430396,35.00008583070002,18.999814987199937,16.000270843500086
XGBoost,48,2.4800000190735,2.3900001049042,89.99991416929998,-7.3611952478712,-9.63813591003418,2.2769406621629793,0.0,0.0,0.0
XGBoost,51,2.404000043869,2.3900001049042,13.999938964799785,-8.8557287471496,-9.63813591003418,0.7824071628845797,0.0,0.0,0.0
XGBoost,6,2.4100000858307,2.4170000553131,6.999969482400115,-44.167741408399,-28.18597412109375,15.981767287305253,47.999858856200284,53.99990081780004,6.000041961599756
XGBoost,7,2.4030001163483,2.3980000019073,5.000114441000125,-34.081850674315,-16.044309616088867,18.037541058226132,46.00000381469993,46.00000381469993,0.0
XGBoost,11,2.385999917984,2.385999917984,0.0,-24.133015732301,-21.531997680664062,2.601018051636938,48.00009727479981,49.00002479549981,0.9999275206999982
XGBoost,21,2.4249999523163,2.4370000362396,12.000083923299876,-5.2438245034886,-5.283395767211914,0.039571263723313876,0.0,0.0,0.0
XGBoost,23,2.4030001163483,2.4059998989105,2.999782562199904,-10.097312622699,-12.505967140197754,2.4086545174987535,8.000135421800003,38.000106811499904,29.9999713896999
XGBoost,26,2.3970000743866,2.3940000534058,3.000020980799878,-18.083089261324,-11.28261947631836,6.800469785005642,36.999940872200376,22.000074386600232,14.999866485600144
XGBoost,36,2.3980000019073,2.3940000534058,3.9999485014998726,-35.993885930802,-28.136674880981445,7.857211049820556,79.99992370600006,81.00008964539995,1.000165939399892
XGBoost,40,2.3970000743866,2.3940000534058,3.000020980799878,-21.123783788962,-34.97474670410156,13.850962915139561,69.00000572199971,69.00000572199971,0.0
XGBoost,45,2.3940000534058,2.3940000534058,0.0,-14.38401025269,-23.997337341308594,9.613327088618593,52.99997329710004,54.00013923640002,1.0001659392999755
XGBoost,47,2.3880000114441,2.385999917984,2.000093460099883,-11.340509059496,-12.591155052185059,1.2506459926890585,29.000043869099823,38.000106811500345,9.000062942400522
XGBoost,52,2.4059998989105,2.4059998989105,0.0,-8.3291901908807,-8.830443382263184,0.5012531913824834,0.0,0.0,0.0
